AGN_name,RA,DEC,z,source,type,ALeRCE,prob_diff_top2,alert_offset,t0,te,tg,r0_g,r0_r,A_g,A_r,max_gap,peak_sigma_g,peak_sigma_r,excess_num_g,excess_num_r,delta_bic,flare_point_g,flare_point_r,flag_1,flag_2,flag_3,flag_4,flag_5,flag_6,flag_7,flag_8
J000001.27+070128.7,0.0052954,7.0246577,1.227,MQW,,QSO,0.105,0.149,58348.0,144.9,2414.1,114.57,160.26,42.26,43.28,190.2,3.27,3.31,0.0,0.0,-13.2,43.0,40.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000007.25+332616.0,0.0302097,33.4377783,2.098,MQ,,,,,59839.7,377.2,0.0,36.13,36.85,13.64,9.56,777.4,2.9,3.08,0.0,0.0,-13.2,8.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000011.42+145545.7,0.0475625,14.9293708,0.46,MDQW,,,,,58510.4,21.7,77.5,48.26,58.31,22.34,22.29,225.8,4.56,3.68,1.0,1.0,-3.4,12.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J000015.90-273856.5,0.0662563,-27.6490384,1.516,MQW,,QSO,0.058,0.336,60617.2,441.8,342.2,112.08,159.97,57.29,55.65,314.1,3.39,5.6,0.0,0.0,25.6,19.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000017.74+020027.8,0.0739133,2.007734,0.414,MQW,,,,,58395.3,240.9,69.2,73.64,119.78,30.91,33.63,734.0,2.63,2.73,0.0,0.0,5.6,7.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
J000017.86+134749.6,0.0744272,13.797111,0.702,M,,,,,58861.8,0.4,49.4,8.89,11.27,20.96,9.53,268.4,3.61,3.74,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000024.75+182943.2,0.1031087,18.4953462,0.088,M,,,,,59253.5,0.0,28.1,111.96,314.33,42.61,58.66,215.2,6.01,3.49,3.0,6.0,5.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
J000026.95+002004.7,0.1123072,0.3346577,0.822,M,,,,,60095.7,31.8,111.8,22.22,22.8,25.94,25.76,258.2,3.72,3.22,4.0,1.0,-18.7,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
J000027.65+145624.7,0.1152219,14.9402,0.159,M,,,,,59201.7,0.4,3.2,72.06,158.61,90.04,78.93,219.9,3.65,3.49,4.0,6.0,34.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
J000028.68+225749.6,0.1194859,22.9637834,1.297,MDW,,QSO,0.672,0.072,60013.8,40.8,37.9,17.84,25.4,33.0,17.7,205.2,4.1,3.53,3.0,0.0,-17.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J000030.09+353629.3,0.1253861,35.6081492,1.031,MQW,,Blazar,0.334,0.042,58471.1,163.1,365.3,8.85,13.67,14.73,19.2,363.0,3.03,4.92,0.0,0.0,11.7,47.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J000041.74+100800.9,0.173903,10.1336057,1.93,MD,,,,,60343.5,4000.0,179.0,11.6,12.46,9.0,8.49,250.1,3.77,3.59,1.0,0.0,4.8,49.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000049.43-000301.9,0.205946,-0.0505541,0.993,MD,,,,,60412.5,405.3,363.9,9.22,12.02,5.06,11.24,344.0,2.32,3.8,0.0,0.0,-11.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000057.59+010658.6,0.2399465,1.1162771,2.549,MQW,,QSO,0.795,0.121,58300.5,345.1,320.4,25.24,32.34,21.87,22.26,207.2,4.01,3.47,0.0,1.0,0.6,39.0,41.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J000058.22-004646.5,0.2426038,-0.7796072,1.895,MDQW,,,,,58595.3,92.6,204.1,72.26,76.32,41.37,42.87,734.0,2.06,2.21,0.0,0.0,6.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
J000111.76+200712.2,0.2990058,20.1200803,1.627,MDQ,,,,,59213.1,321.2,744.7,22.59,30.59,25.76,23.09,215.2,2.77,2.28,0.0,1.0,21.7,151.0,162.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000115.88+394348.8,0.3161474,39.730248,1.15,MQW,,Blazar,0.158,0.225,59030.5,254.6,984.4,13.95,26.42,20.66,22.57,225.1,6.48,2.4,0.0,0.0,23.8,166.0,203.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J000116.00+141123.1,0.3166532,14.1897655,0.404,MDLW,,SN,0.42,0.306,60400.2,95.6,87.4,27.2,48.71,61.04,58.68,231.6,3.84,5.49,1.0,0.0,33.6,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J000122.34+204455.3,0.3430697,20.7486967,0.599,MLQW,,QSO,0.039,0.378,59868.3,4000.0,10.9,237.44,234.85,70.41,61.4,734.1,3.78,2.89,0.0,0.0,-0.3,6.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000123.37+473353.8,0.34737,47.56496,0.017,M,,SN,0.132,0.123,58439.2,0.0,4.3,464.13,1110.13,158.65,356.98,132.6,4.66,3.57,6.0,4.0,10.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J000130.24-001446.4,0.3760116,-0.2462356,0.089,M,,,,,60302.0,53.1,17.9,170.9,351.63,39.22,135.09,242.2,2.57,4.79,1.0,0.0,6.6,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000130.28+020856.4,0.3761752,2.1490152,0.293,M,,,,,60454.7,37.7,88.0,21.25,89.25,19.65,67.92,273.1,3.52,3.29,0.0,2.0,-5.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000158.22+182218.0,0.4925808,18.3716818,0.1,M,,AGN,0.235,0.287,58904.2,85.4,84.2,190.5,363.73,54.98,69.49,215.2,4.61,4.98,2.0,1.0,15.2,11.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
J000159.36+304332.0,0.4973338,30.725566,2.096,MDQW,,,,,60400.5,37.8,433.5,40.73,46.01,62.37,62.96,1099.1,4.19,3.16,0.0,0.0,23.8,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000202.63+085628.4,0.5109535,8.9412271,0.217,MDLQW,,SNII,0.573,0.062,60163.3,79.2,171.7,130.67,223.09,60.34,74.94,218.2,4.16,3.97,0.0,0.0,17.5,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000208.74+242014.0,0.536422,24.3372256,2.049,MDQW,,AGN,0.581,0.318,58467.2,157.6,154.6,87.47,106.08,16.5,25.72,1077.1,1.58,2.24,0.0,0.0,11.2,12.0,18.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
J000217.37+283225.7,0.5723551,28.5404781,0.187,M,,,,,59898.6,2.4,0.1,48.18,141.55,102.64,53.11,205.2,4.04,3.85,2.0,4.0,0.7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J000224.84+360252.0,0.6035118,36.0477865,0.584,MQW,,,,,58798.2,63.7,185.5,51.28,56.93,35.09,31.25,773.9,2.05,2.56,0.0,0.0,18.2,23.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000229.66-134055.4,0.623582,-13.6820721,0.75,MQW,,QSO,0.099,0.164,58829.2,244.2,857.4,151.87,146.31,78.35,88.57,225.2,2.79,3.06,0.0,0.0,7.5,72.0,75.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J000232.52+341700.4,0.6355087,34.2834602,1.33,MLQW,,VS,0.079,0.414,60433.5,44.8,450.4,504.45,662.65,76.52,63.12,773.9,3.81,3.09,0.0,0.0,-4.2,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
J000241.32+301249.4,0.6721699,30.2137244,0.31,MDQW,,,,,59417.7,575.0,212.0,109.63,133.77,64.15,71.29,584.2,3.9,5.85,0.0,0.0,-11.5,10.0,14.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000249.37+004504.4,0.7057031,0.751234,0.086,M,,,,,60324.7,23.4,31.0,146.43,363.42,42.5,112.28,215.2,3.21,4.41,2.0,0.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000254.09-012254.4,0.7253835,-1.3817882,1.306,MD,,,,,59401.7,0.4,82.9,13.12,16.39,61.96,57.67,292.1,3.21,3.23,1.0,1.0,-17.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000257.10+370152.2,0.7379197,37.0311739,1.587,MLQW,,QSO,0.511,0.103,58716.3,298.3,4000.0,30.39,46.57,13.31,16.09,172.2,3.03,3.82,1.0,0.0,-10.5,128.0,148.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000257.95+365918.3,0.7414692,36.9884372,2.854,M,,,,,60073.5,2399.4,820.8,113.9,148.04,8.66,9.86,124.3,4.14,3.37,0.0,1.0,5.9,197.0,232.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
J000303.35-105150.6,0.7639689,-10.8640818,3.641,MD,,asteroid,1.0,0.133,60130.3,1197.6,147.0,28.6,75.2,15.86,50.18,235.2,3.55,5.98,0.0,0.0,24.9,26.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000309.61+215736.9,0.7900422,21.9602647,0.022,M,,AGN,0.375,0.155,60230.5,20.6,6.5,1609.27,3424.67,1176.3,1360.9,215.2,6.83,5.17,0.0,1.0,87.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000315.35+331132.1,0.8139678,33.1922653,1.916,MQW,,QSO,0.046,0.926,59503.2,497.2,125.3,145.68,183.07,61.91,51.64,137.3,3.86,3.12,0.0,0.0,21.5,56.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000316.31+245938.3,0.8179676,24.9939942,0.673,MQW,,Blazar,0.284,0.094,59084.5,1.3,2.5,42.72,72.62,298.92,389.6,205.2,5.23,4.97,7.0,8.0,60.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J000316.61+333245.5,0.8192084,33.5459765,0.544,M,,,,,58912.2,47.3,8.1,10.38,26.42,44.29,17.94,276.0,3.74,2.93,0.0,3.0,-15.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J000318.97+074952.9,0.8290292,7.8313758,0.808,MDLQW,,QSO,0.722,0.203,58606.2,376.6,409.3,61.71,73.86,38.34,41.65,190.2,4.06,3.08,0.0,0.0,-15.8,92.0,95.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J000320.19-023700.4,0.8341221,-2.6167978,1.071,MQW,,,,,58622.4,89.2,271.8,50.03,62.68,34.92,41.39,435.2,2.64,2.74,0.0,0.0,18.2,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
J000320.29+135405.5,0.8345349,13.9015407,1.24,MDQW,,,,,60441.5,2.8,401.8,23.88,41.28,30.71,25.44,1027.2,2.88,4.9,0.0,0.0,3.8,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000332.64+362922.4,0.8859881,36.4895659,1.675,MQW,,QSO,0.35,0.203,58614.8,201.8,4000.0,95.74,123.15,47.92,49.25,128.3,2.99,2.88,0.0,0.0,-9.5,111.0,113.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
J000341.22-094101.0,0.9217627,-9.6836231,1.736,MQW,,,,,58544.7,147.7,154.7,32.44,39.69,16.98,7.87,309.1,3.23,3.45,1.0,0.0,-0.9,16.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
J000345.59+240503.9,0.9399576,24.0844389,0.648,MDQW,,Blazar,0.078,0.128,58356.4,175.6,46.6,107.17,132.51,25.63,32.13,1077.1,2.11,2.38,0.0,0.0,1.6,14.0,19.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
J000357.76+244024.6,0.9906657,24.6735017,1.596,MQW,,,,,60003.0,214.8,77.7,37.26,45.11,101.36,81.43,1081.6,4.38,3.14,0.0,0.0,15.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000407.20-001544.1,1.030006,-0.2622742,0.077,M,,,,,60322.9,27.4,30.2,218.68,517.81,92.75,144.56,212.3,3.26,3.54,5.0,3.0,-5.2,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
J000415.27+411119.1,1.0636417,41.1886458,0.54,MQW,,,,,60025.8,4000.0,342.0,98.95,116.11,24.55,20.65,1113.0,3.09,2.92,0.0,0.0,1.1,8.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
J000415.32+225152.0,1.0638453,22.8644622,1.44,MDQW,,Blazar,0.438,0.229,60484.4,1096.2,275.1,20.5,30.49,21.91,25.27,329.0,2.94,3.83,0.0,0.0,-2.6,27.0,31.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000416.13+461517.9,1.0671921,46.2549898,1.81,MQW,Blazar,Blazar,0.447,0.062,58256.7,495.5,3.4,13.3,16.84,25.59,42.68,215.3,5.12,4.66,0.0,0.0,76.5,83.0,93.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J000416.69+241557.9,1.069551,24.2660891,1.861,MDQ,,AGN,0.239,0.538,60120.9,4000.0,235.7,23.11,35.51,19.57,26.34,1080.1,3.22,3.16,0.0,0.0,2.1,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000417.40+240419.5,1.0724912,24.0720974,0.64,MDQW,,,,,58926.4,40.6,13.4,17.33,28.96,62.55,77.85,239.1,3.67,4.43,2.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J000428.62+352029.0,1.1192624,35.3413986,3.71,MW,,,,,60399.3,132.2,537.7,60.12,178.4,22.79,35.64,773.9,2.79,2.33,0.0,0.0,-13.6,5.0,9.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
J000431.08+041012.3,1.1294991,4.1700898,0.654,MW,,AGN,0.051,0.163,60617.3,942.3,289.7,16.77,19.81,21.1,19.84,247.2,3.33,3.81,1.0,1.0,-0.9,21.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000435.76+201942.3,1.1489895,20.3284196,0.677,MQW,Blazar,CV/Nova,0.489,0.054,58283.4,28.7,12.3,9.93,18.24,45.21,66.79,372.0,3.53,4.98,0.0,0.0,62.8,8.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J000448.08-002321.8,1.2003524,-0.3894005,1.726,MDQW,,QSO,0.223,0.081,58298.4,633.4,394.8,33.57,39.0,46.7,42.47,226.2,3.41,3.74,0.0,0.0,20.2,68.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J000448.57-044318.9,1.2023618,-4.7219335,1.633,MQ,,QSO,0.577,0.14,60090.7,4000.0,348.2,18.95,27.55,23.81,28.88,280.0,3.15,2.56,0.0,0.0,-7.6,90.0,47.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000502.76-274252.6,1.261513,-27.7146105,0.033,M,,,,,58440.9,26.0,4.3,541.72,966.79,1439.22,1253.23,402.0,4.92,4.32,0.0,0.0,32.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J000505.19+233925.2,1.2716366,23.6570117,2.077,MDQW,,,,,60327.1,84.2,0.4,35.39,47.74,19.18,22.57,205.2,5.34,5.93,0.0,2.0,25.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J000507.41+241645.9,1.2808613,24.2794246,0.662,MQW,,,,,58911.8,987.7,59.5,36.63,43.51,71.05,84.1,1645.3,4.68,3.21,0.0,0.0,8.8,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000509.62+200630.1,1.2900699,20.1083756,1.503,MDQW,,QSO,0.238,0.13,60198.8,4000.0,155.6,93.98,109.97,46.76,39.45,215.2,2.89,3.07,0.0,0.0,0.8,75.0,80.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000513.12+023244.3,1.304677,2.5456624,1.162,MDQW,,,,,58634.9,161.9,4000.0,35.03,49.82,10.86,13.44,301.2,2.55,2.1,0.0,0.0,-2.0,9.0,15.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
J000516.58+173011.9,1.3190703,17.5033198,2.258,MDLQW,,,,,60452.0,4000.0,1121.8,30.68,33.77,18.5,14.74,1065.1,2.72,3.68,0.0,0.0,2.2,5.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000524.55+253344.9,1.3522779,25.5624728,2.341,M,,,,,60460.3,43.9,117.8,12.06,15.5,16.24,13.77,230.2,3.83,6.0,1.0,1.0,3.3,3.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000538.48+093553.4,1.41035,9.5981776,1.032,MDQW,,QSO,0.59,0.255,60428.1,4000.0,140.9,49.52,66.0,24.58,29.85,219.5,3.08,4.51,0.0,0.0,1.5,30.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000548.46+192107.7,1.4519065,19.352144,2.151,MDLQW,,,,,59494.9,4000.0,587.2,47.24,53.01,21.98,32.86,1074.1,2.97,2.91,0.0,0.0,-9.9,3.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
J000604.59+283803.1,1.5191261,28.6342144,1.278,MW,,,,,59038.1,238.7,843.8,13.41,23.54,21.66,18.68,207.2,2.41,4.4,1.0,0.0,-7.4,145.0,168.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J000618.89+055140.8,1.5786877,5.8613592,1.314,MDQW,,QSO,0.418,0.188,60607.3,0.1,361.4,29.33,46.78,39.48,53.23,205.2,3.76,5.55,0.0,0.0,10.0,35.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000624.89+030922.9,1.6036987,3.1563652,0.058,M,,bogus,0.606,0.608,60478.2,0.7,78.0,171.13,417.54,212.06,286.5,193.2,2.7,3.43,4.0,2.0,-18.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J000626.55-045919.5,1.6106205,-4.9887556,0.938,MQW,,QSO,0.281,0.028,58482.1,173.8,570.7,31.89,40.57,22.47,23.54,224.2,3.43,3.51,0.0,0.0,-5.1,32.0,38.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000642.94+205524.0,1.6789333,20.9233506,1.312,MQW,,,,,60095.9,201.8,123.4,40.91,62.67,75.05,43.07,1077.1,2.88,2.36,0.0,0.0,-6.2,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
J000644.01+032143.7,1.6833882,3.3621512,2.77,MD,,,,,59366.5,12.6,82.8,10.35,12.66,39.55,25.41,264.2,3.52,5.08,2.0,1.0,4.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J000656.45+072834.3,1.7351914,7.4762084,0.68,MDQ,,QSO,0.285,0.272,58963.2,143.6,411.9,15.53,17.77,21.97,20.34,233.2,3.3,3.66,0.0,0.0,1.1,59.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J000706.68+121954.1,1.7778391,12.3317109,0.896,MDW,,,,,59829.4,4000.0,277.4,13.66,17.52,12.87,20.41,1072.1,2.68,2.8,0.0,0.0,-2.1,3.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
J000709.99+113802.1,1.7916117,11.6339332,2.621,MDQ,,,,,60122.6,264.7,180.2,15.81,23.46,29.55,35.61,1072.1,2.34,3.68,1.0,0.0,-7.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000715.33-122811.5,1.8138751,-12.4698612,0.024,M,,SN,0.147,0.643,58431.6,27.6,0.0,336.01,946.82,371.51,315.51,212.3,3.55,3.93,0.0,4.0,33.8,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
J000725.59+114038.3,1.8566362,11.6773106,0.714,MQW,,,,,60349.8,865.3,483.9,32.05,36.67,19.47,23.63,1045.2,2.94,3.49,0.0,0.0,-2.3,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000729.99-005428.0,1.8749651,-0.9077884,0.145,MD,,,,,60320.7,107.1,41.8,74.47,155.57,27.01,32.5,212.3,3.43,4.12,0.0,0.0,-6.1,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000730.95-204352.6,1.8789525,-20.7312963,0.065,M,,,,,59219.0,0.0,13.0,390.14,951.73,126.03,188.85,255.2,3.93,3.17,4.0,2.0,10.9,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
J000735.32+292505.8,1.8971703,29.4183041,0.102,M,,,,,59900.5,1.2,2.0,64.36,158.61,38.86,62.83,205.2,4.8,4.61,2.0,5.0,16.2,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J000742.78-104852.5,1.9282425,-10.8146071,0.077,M,,,,,58434.5,35.0,0.5,100.68,218.94,51.77,55.54,286.1,3.88,5.6,1.0,1.0,18.2,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
J000742.98+275111.4,1.9290946,27.8531716,1.461,MQW,,QSO,0.714,0.124,59718.8,23.2,232.7,41.82,64.15,17.39,10.95,205.2,2.79,2.13,1.0,0.0,-30.9,17.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
J000746.01+161423.9,1.9417203,16.2399911,0.117,M,,,,,59229.1,17.1,0.0,83.05,243.34,63.22,78.87,215.2,3.78,3.15,2.0,4.0,-11.1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
J000758.60+205851.9,1.9941517,20.9810857,1.066,MQ,,AGN,0.599,0.262,60594.2,205.6,197.8,118.52,149.38,35.08,41.6,218.2,4.16,3.21,0.0,0.0,-10.6,34.0,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J000812.18+371707.7,2.0507365,37.285477,0.2,MQ,,,,,59531.5,129.0,0.1,19.58,40.43,31.94,16.01,189.2,7.71,5.24,1.0,3.0,52.9,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J000814.67-043633.7,2.0611143,-4.6093598,1.243,MQW,,,,,59020.5,60.9,1102.5,126.68,157.56,40.69,39.99,435.2,2.78,2.22,0.0,0.0,23.8,6.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
J000820.21+372455.9,2.0842206,37.4155531,1.4,M,,,,,59346.5,0.2,140.6,13.48,19.92,11.57,9.05,225.1,3.79,3.27,1.0,0.0,-1.8,5.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000828.12-000210.1,2.1171773,-0.036157,0.258,MDW,,,,,58443.1,134.6,50.5,52.56,84.46,23.24,19.09,242.2,3.84,5.12,2.0,1.0,9.9,9.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J000830.44+010332.5,2.1268145,1.0590453,0.332,M,,,,,58437.3,31.8,27.5,20.85,65.48,19.3,10.17,226.2,5.11,3.81,2.0,3.0,11.1,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
J000832.51-101656.8,2.1354611,-10.2824633,0.077,M,,,,,58435.4,0.4,1.5,208.39,483.56,104.22,143.22,245.2,4.24,5.22,1.0,1.0,24.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000846.08-091959.8,2.1919891,-9.333297,0.144,MW,,,,,58435.3,33.9,1.5,75.55,186.79,40.09,42.29,227.3,4.11,5.53,1.0,2.0,13.1,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J000856.17+133954.1,2.2340259,13.665049,0.135,M,,,,,58361.4,18.9,4.5,99.58,271.24,36.17,48.49,1063.0,3.06,2.18,0.0,0.0,8.7,6.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
J000902.83-101227.4,2.2617782,-10.2076328,1.758,MQW,,AGN,0.717,0.179,60413.1,264.4,173.7,29.94,37.5,26.53,36.52,250.2,3.9,5.15,0.0,0.0,19.6,12.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000903.93+062821.2,2.2663849,6.4725682,1.563,MQW,Blazar,VS,0.024,0.229,58417.3,13.0,60.1,150.65,245.01,98.54,125.74,1066.1,2.73,2.13,0.0,0.0,0.5,7.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
J000904.92+090957.2,2.2704955,9.1658995,0.837,MDQW,,QSO,0.018,0.043,58613.5,267.7,609.3,61.79,83.7,47.76,57.15,219.7,2.95,2.77,0.0,0.0,8.3,103.0,100.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
J000917.19+315536.0,2.3216239,31.9266722,2.171,MW,,,,,60046.9,8.7,37.9,17.73,24.68,76.93,91.43,205.2,3.92,4.08,2.0,3.0,-1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J000917.53+365534.0,2.3230558,36.9261245,1.8,M,,,,,58271.4,3.5,7.8,16.44,17.95,22.45,13.61,209.2,2.76,4.05,1.0,3.0,-7.3,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
J000918.24+212409.0,2.326005,21.4025085,1.229,MDQW,,,,,59944.2,263.6,271.0,39.9,56.97,11.52,11.86,215.2,3.18,3.6,1.0,8.0,64.3,67.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J000922.76+503028.8,2.3448326,50.5080116,0.3,MQ,Blazar,Blazar,0.673,0.168,58866.2,87.1,120.2,104.96,164.14,73.85,93.51,1058.0,2.9,2.79,0.0,0.0,-10.9,32.0,35.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
J000931.43+021707.3,2.380956,2.2853619,2.348,MDLQ,,QSO,0.016,0.181,60533.3,1925.6,292.7,277.29,347.57,109.95,104.26,253.2,4.11,4.07,0.0,0.0,8.1,9.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000936.61+351543.4,2.4025339,35.2620634,1.9,MQW,,QSO,0.069,0.242,60431.7,203.3,398.7,153.06,194.55,46.78,55.4,773.9,2.56,3.25,0.0,0.0,14.1,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000937.75+185513.5,2.4073068,18.920431,1.928,MDQ,,,,,60257.4,3592.4,404.2,13.81,15.14,20.32,17.22,1073.2,2.93,3.44,0.0,0.0,9.3,3.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000948.17+185435.1,2.4507104,18.9097527,0.712,MDQW,,,,,58769.9,1.8,2.0,23.95,27.1,68.34,68.89,1074.0,3.68,5.43,0.0,0.0,32.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
