AGN_name,RA,DEC,z,source,type,ALeRCE,prob_diff_top2,alert_offset,t0,te,tg,r0_g,r0_r,A_g,A_r,max_gap,peak_sigma_g,peak_sigma_r,excess_num_g,excess_num_r,delta_bic,flare_point_g,flare_point_r,flag_1,flag_2,flag_3,flag_4,flag_5,flag_6,flag_7,flag_8
J225617.48+143257.7,344.0728436,14.5493834,0.634,MDQW,,,,,58895.2,137.4,113.6,100.45,101.08,41.03,35.93,192.2,4.98,6.18,0.0,0.0,7.4,21.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J225618.86+340052.4,344.0785763,34.0145776,1.417,MW,,,,,58439.5,53.7,3.1,9.04,11.37,40.69,60.25,255.2,3.46,6.23,2.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J225635.12+011014.0,344.1463377,1.1705631,1.052,MDQW,,,,,58589.6,231.9,213.8,100.85,143.18,79.25,78.36,305.1,2.37,2.34,0.0,0.0,4.2,3.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
J225638.11-190521.7,344.1587922,-19.0893612,0.069,M,,bogus,0.792,0.874,58851.0,4.2,15.8,124.11,288.37,72.53,467.1,201.3,3.12,7.73,5.0,2.0,81.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J225638.84+060327.1,344.161834,6.0575471,2.76,MQ,,,,,58774.1,11.4,201.2,29.59,40.04,13.55,12.97,799.8,3.18,2.07,0.0,0.0,8.6,4.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J225639.16+261843.6,344.1631749,26.3121263,0.12,M,Blazar,Blazar,0.605,0.012,58746.9,0.0,1.8,170.28,312.55,136.49,355.56,187.2,4.11,6.29,4.0,1.0,310.6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J225641.21-201140.5,344.1716959,-20.1945879,0.893,MQW,Blazar,Blazar,0.484,0.171,60532.1,16.1,195.3,114.6,191.84,163.08,239.43,211.3,3.15,3.07,0.0,0.0,-3.4,17.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J225649.69-081441.4,344.2070363,-8.2448357,0.192,M,,AGN,0.246,0.126,60288.2,1.0,414.3,70.83,193.64,49.65,49.29,195.2,3.31,3.15,0.0,0.0,89.5,46.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J225651.45+272144.7,344.214365,27.3624263,2.635,MQ,,AGN,0.423,0.268,58851.1,177.5,922.3,107.32,147.6,28.06,30.05,187.2,2.53,2.98,0.0,0.0,7.8,109.0,126.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
J225702.02+254035.3,344.2584323,25.6764795,2.167,MQ,,QSO,0.821,0.164,59158.2,543.9,853.8,14.62,21.77,19.33,23.8,190.2,2.6,2.67,0.0,0.0,9.9,192.0,233.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
J225702.67+261054.3,344.2611065,26.1817746,0.803,MW,,,,,60294.7,792.4,621.3,19.27,24.18,16.94,20.77,1104.0,2.71,3.04,0.0,0.0,0.6,5.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J225708.88+232533.3,344.2870117,23.4259266,1.491,MD,,,,,58953.5,5.1,38.0,14.96,20.86,40.73,26.86,187.2,3.86,7.21,2.0,2.0,27.4,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
J225717.30+074312.3,344.3220965,7.7200854,0.19,MQW,Blazar,Blazar,0.651,0.098,60578.1,0.0,2.3,415.27,797.09,1185.26,2443.7,197.2,6.27,7.89,3.0,1.0,284.7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J225717.64+243850.2,344.3234809,24.6472853,0.731,MQ,,AGN,0.694,0.341,58634.5,169.6,201.9,62.67,75.18,25.08,27.34,187.2,3.35,4.35,1.0,0.0,-3.8,47.0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J225719.72+022607.2,344.3321548,2.4353568,2.806,MDW,,QSO,0.022,0.031,58482.1,869.3,4000.0,65.78,106.52,28.87,45.09,208.2,3.43,3.56,1.0,0.0,115.0,140.0,158.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
