AGN_name,RA,DEC,z,source,type,ALeRCE,prob_diff_top2,alert_offset,t0,te,tg,r0_g,r0_r,A_g,A_r,max_gap,peak_sigma_g,peak_sigma_r,excess_num_g,excess_num_r,delta_bic,flare_point_g,flare_point_r,flag_1,flag_2,flag_3,flag_4,flag_5,flag_6,flag_7,flag_8
J003855.52+332759.9,9.7313174,33.4666385,1.292,M,,,,,58773.8,218.3,167.5,12.21,17.22,8.97,7.99,242.2,4.1,7.07,0.0,1.0,26.6,44.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J003945.03-244150.3,9.9376251,-24.6973056,0.064,M,,,,,58432.9,5.2,1.9,250.92,607.81,230.52,340.99,289.1,6.28,3.9,0.0,0.0,38.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004013.53+012546.3,10.0563552,1.4295355,0.226,M,,SN,0.77,0.24,59848.7,3.6,1.9,88.25,213.71,68.54,119.95,215.2,6.25,6.38,0.0,1.0,63.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004048.75-054050.5,10.2031457,-5.6806994,0.097,M,,,,,58437.3,0.0,3.3,129.17,308.6,62.18,154.61,275.2,4.33,5.07,0.0,2.0,20.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004608.20+271526.2,11.5341815,27.2572816,0.37,MQW,,,,,58771.6,0.6,2.7,74.17,106.43,43.32,23.68,152.3,6.94,3.95,1.0,1.0,55.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004619.71+020231.2,11.5821215,2.0420242,0.373,MQW,,AGN,0.066,0.097,59959.3,90.9,66.7,48.2,71.15,58.82,45.93,223.2,4.88,5.6,0.0,0.0,19.6,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004804.82+091556.7,12.0200768,9.2657662,1.105,MQW,,QSO,0.175,0.091,58771.4,1.3,2.2,50.01,72.02,56.06,17.07,207.2,3.16,2.02,0.0,0.0,17.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005028.91+251847.6,12.6204382,25.3132451,0.274,MQW,,AGN,0.412,0.156,59129.8,128.9,30.7,103.14,153.97,55.07,57.65,141.3,3.69,3.65,0.0,0.0,17.6,37.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005108.21-065002.2,12.784208,-6.8339535,1.975,MQ,Blazar,Blazar,0.364,0.206,59479.8,0.5,8.4,49.12,62.25,180.75,313.93,234.3,7.57,7.52,0.0,0.0,306.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005354.45-240437.0,13.4768869,-24.076962,0.056,M,,Periodic-Other,0.728,0.035,58433.9,1.8,2.8,342.93,664.15,299.52,513.38,324.1,4.24,4.93,0.0,0.0,39.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005425.34+010400.7,13.6055962,1.0668662,0.706,M,,AGN,0.011,0.132,58831.8,191.8,109.0,11.35,16.59,14.98,23.05,219.2,2.57,3.55,1.0,0.0,33.5,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005528.39+250040.1,13.8682794,25.0111433,0.659,MQW,,QSO,0.594,0.021,59490.6,245.0,85.7,37.33,41.8,51.08,48.67,143.3,3.33,3.35,0.0,0.0,56.9,39.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005609.59+344020.8,14.0399688,34.6724518,1.288,MLQ,,QSO,0.48,0.068,59179.9,2.0,0.0,25.71,36.63,43.47,28.39,182.2,5.09,3.22,0.0,0.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005706.37+253457.3,14.27655,25.5825857,1.505,MW,,Blazar,0.082,0.091,58764.3,4.2,0.1,16.69,21.17,28.02,42.58,266.1,2.41,3.98,1.0,1.0,22.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005707.19+272032.0,14.2799471,27.3422349,1.246,MDQW,,AGN,0.526,0.283,59182.5,0.5,4.6,105.99,162.41,33.36,40.08,141.3,3.44,3.1,1.0,0.0,40.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005730.07+281420.7,14.3753083,28.2391002,0.9,M,,CV/Nova,0.066,0.127,58814.2,316.1,212.4,42.02,39.2,59.4,74.67,156.3,3.2,3.41,0.0,0.0,210.8,87.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005846.53-205024.1,14.6938591,-20.840049,0.018,M,,bogus,0.626,0.414,58431.7,3.2,0.4,2351.88,4142.25,1185.05,1911.32,260.3,4.36,4.79,1.0,0.0,36.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005852.35+344500.0,14.7181228,34.7500031,2.443,MQ,,,,,58902.0,357.3,464.9,15.17,14.12,11.7,9.64,215.2,3.95,4.21,1.0,0.0,16.9,99.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005927.89-193549.3,14.8662142,-19.5970429,0.99,MQW,,QSO,0.334,0.076,59523.2,160.3,105.2,75.15,88.69,39.29,40.39,245.2,3.46,3.13,0.0,0.0,22.8,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010205.83-220618.3,15.524298,-22.1050934,0.055,M,,,,,58431.5,2.8,0.2,186.31,329.74,325.46,592.99,253.2,4.85,6.02,2.0,0.0,65.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010233.65-213718.5,15.6402084,-21.6218056,0.094,M,,AGN,0.062,1.051,58432.9,3.3,2.0,148.72,350.64,139.86,239.16,253.2,2.82,5.17,1.0,0.0,25.9,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010504.89+234812.1,16.2703724,23.8033682,1.481,MDQW,,,,,58768.6,2.0,0.8,26.9,45.11,29.65,19.38,207.2,3.71,2.97,0.0,2.0,31.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010509.20+392815.3,16.288316,39.47092,0.083,MQ,Blazar,YSO,0.291,0.027,59875.8,0.8,2.0,43.31,73.11,504.96,550.74,182.3,11.11,17.15,1.0,0.0,1198.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010728.57+033348.6,16.8690437,3.5635052,1.438,MQW,,Blazar,0.604,0.037,58480.6,65.8,5.6,42.91,70.97,576.59,952.4,207.2,7.53,7.78,1.0,1.0,176.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010736.67-173219.1,16.9028,-17.53864,0.021,M,,,,,58482.2,20.7,0.0,488.87,953.81,517.17,282.93,255.2,6.6,3.42,1.0,0.0,44.2,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010747.56-173025.0,16.94818,-17.50697,0.02,M,,,,,58510.0,1.2,18.3,201.9,868.13,135.82,205.31,255.2,4.19,2.95,2.0,0.0,19.8,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010838.77+013500.3,17.161547,1.5834218,2.109,MLQ,Blazar,Blazar,0.626,0.092,59229.3,7.0,3.1,256.95,361.62,393.15,723.46,251.2,5.5,5.32,1.0,0.0,143.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010931.75-152040.3,17.3823056,-15.3445278,0.049,M,,,,,58510.4,0.4,39.2,60.05,73.73,63.64,25.87,299.2,4.97,3.32,0.0,1.0,26.3,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J010939.01+005950.3,17.4125586,0.9973253,0.093,ML,,AGN,0.705,0.156,58513.1,223.3,130.3,207.03,417.41,110.69,99.94,287.2,4.54,5.17,0.0,0.0,65.1,37.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011106.35+404518.2,17.776444,40.7550595,0.385,MLQW,,QSO,0.482,0.034,59427.5,212.0,75.2,19.41,38.61,72.04,88.91,199.2,3.49,3.51,0.0,0.0,91.8,36.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011123.29+130936.8,17.8470231,13.1602211,0.019,M,SN,SNIbc,0.004,0.628,58854.1,21.9,6.3,277.19,665.32,216.46,569.19,164.3,7.86,7.44,0.0,0.0,231.3,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011144.94+093849.0,17.9372348,9.6469585,0.809,M,,QSO,0.356,0.037,59951.2,219.2,186.8,14.34,17.8,26.45,24.62,228.2,4.05,3.31,0.0,0.0,33.7,43.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011212.94+352219.3,18.0539354,35.3720365,0.45,MQW,Blazar,Blazar,0.693,0.044,59903.0,1.4,3.9,143.79,188.95,142.14,256.23,164.2,5.4,7.2,0.0,0.0,726.6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011302.72-232838.3,18.2613334,-23.4773056,0.065,M,,,,,58433.6,2.1,2.9,236.75,482.74,214.63,368.21,286.3,5.53,5.38,0.0,0.0,53.6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011452.78+132537.5,18.7199019,13.4270918,0.583,MQW,Blazar,Blazar,0.696,0.085,59780.4,80.8,216.8,506.42,709.74,906.43,1353.14,164.3,3.95,4.05,0.0,0.0,22.2,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011641.37+173936.4,19.1723909,17.6601141,0.875,MQ,,CV/Nova,0.274,0.189,58766.9,364.4,368.1,14.22,15.54,45.59,57.9,219.3,2.25,4.8,0.0,0.0,64.0,85.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011724.42-222759.9,19.3517418,-22.4666566,0.116,M,Blazar,,,,58433.4,1.5,2.5,126.58,271.87,174.92,407.52,257.2,5.82,3.28,1.0,1.0,35.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011748.43+082744.9,19.4518111,8.4624718,0.35,MW,,Blazar,0.002,0.166,58450.3,24.5,64.7,28.6,50.06,42.5,46.34,207.2,5.85,6.96,0.0,0.0,106.6,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011748.78-211106.6,19.4532545,-21.1851716,1.49,MQ,Blazar,Blazar,0.678,0.178,59199.2,40.7,16.3,35.68,52.97,174.5,297.88,315.1,2.85,3.29,0.0,0.0,37.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011806.24+132033.9,19.5260003,13.3427559,0.6,M,,SN,0.079,0.04,58364.2,0.6,10.1,17.81,24.09,25.66,21.68,230.3,4.64,4.36,1.0,1.0,24.6,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011857.26-214130.1,19.7385913,-21.6917069,1.165,MQ,Blazar,Blazar,0.634,0.021,58339.6,71.2,2.3,110.56,169.97,683.95,947.33,253.2,5.31,4.58,0.0,0.0,79.3,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J011925.01-074132.4,19.8541898,-7.692358,0.7,MQ,,Blazar,0.187,0.244,59118.7,1.7,3.2,42.99,50.48,30.95,53.76,238.2,3.59,4.62,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J012247.48-100335.5,20.6978404,-10.0598629,0.104,M,,,,,58432.8,77.9,2.3,78.82,151.85,53.71,60.88,244.1,3.64,3.81,1.0,1.0,10.7,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J012311.90+010011.2,20.7995687,1.0031295,0.058,M,SN,SNIa,0.229,1.323,59083.8,13.0,7.7,155.16,333.38,242.77,249.05,164.3,7.39,6.7,0.0,1.0,263.7,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
